Name,Description,Type,Photograph,With Stylized Photography,On Website,PD PO Link,Date Created,Design Approval Status,Design Approval Date,Date Sent to Photography,Anticipated Launch Date,PD Pricing Complete,Photo Notes,Notes for Copy,Preferred Vendor,Earliest PO/WO Date,Product Roadmap Planned Launch,eCommerce Notes,Launch Notes,Date Photo Completed,Inventory Available,How Produced,Center Stones Available
BE304RD0300LAB-18KY,Runout - CAT - 18K Yellow Gold Certified Lab Created Diamond Stud Earrings (3 ct. tw.),Inventory Item,To Be Photographed,No,Not on website,Purchase Order #902305,4/19/2022 14:41,Finished Item Approved,4/19/2022,,Runout,No,Same as BE304RD300LAB-18KY,,Bhakti Diamond LLC,5/23/2022,,,,,3,"Ordered and fully assembled with Dharm Set with: (1 pair) 7.25mm RD lab created diamonds, H/I color, SI1 clarity, eye clean - 1.5 ct. tw. each, total = 3.0 ct. tw. *ct. tw. should never exceed below 2.95 ct. tw. as the minimum ct. tw.* La Pousette/Guardian posts/backs *When processing the order, these pairs must be assembled and kept together, as their cert numbers match each other per pair. Please ensure this is relayed to the vendor when processing orders.  History Notes by Style: 9.9.19 KGB - Ordered and fully assembled ON MEMO with Go Green.  Set with: (1 pair) 7.25mm RD lab created diamonds, H/I color, SI1 clarity, eye clean - 1.5 ct. tw. each, total = 3.0 ct. tw. *ct. tw. should never exceed below 2.95 ct. tw. as the minimum ct. tw.*  History notes:  MEMO ITEM: Ordered fully assembled from Go Green Jewelry (including finding and diamond)  Set with: (1 pair) 7.25mm RD lab created diamonds, H/I color, SI1 clarity, eye clean - 1.5 ct. tw. each, total = 3.0 ct. tw. *",
BE304RD0300LAB-PT,Runout - CAT - Platinum Certified Lab Created Diamond Stud Earrings (3 ct. tw.),Inventory Item,To Be Photographed,No,Not on website,Purchase Order #902305,4/19/2022 14:41,Finished Item Approved,4/19/2022,,Runout,No,Same as BE304RD300LAB-PT,,Bhakti Diamond LLC,5/23/2022,,,,,2,"Ordered and fully assembled with Dharm Set with: (1 pair) 7.25mm RD lab created diamonds, H/I color, SI1 clarity, eye clean - 1.5 ct. tw. each, total = 3.0 ct. tw. *ct. tw. should never exceed below 2.95 ct. tw. as the minimum ct. tw.* La Pousette/Guardian posts/backs *When processing the order, these pairs must be assembled and kept together, as their cert numbers match each other per pair. Please ensure this is relayed to the vendor when processing orders.  History Notes by Style: 9.9.19 KGB - Ordered and fully assembled ON MEMO with Go Green.  Set with: (1 pair) 7.25mm RD lab created diamonds, H/I color, SI1 clarity, eye clean - 1.5 ct. tw. each, total = 3.0 ct. tw. *ct. tw. should never exceed below 2.95 ct. tw. as the minimum ct. tw.*  History notes:  MEMO ITEM: Ordered fully assembled from Go Green Jewelry (including finding and diamond)  Set with: (1 pair) 7.25mm RD lab created diamonds, H/I color, SI1 clarity, eye clean - 1.5 ct. tw. each, total = 3.0 ct. tw. *",
BE304RD0400LAB-18KW,Runout - CAT - 18K White Gold Certified Lab Created Diamond Stud Earrings (4 ct. tw.),Inventory Item,To Be Photographed,No,Not on website,Purchase Order #902323,4/19/2022 14:48,Finished Item Approved,4/19/2022,,Runout,No,Same as BE304RD400LAB-18KW,,Bhakti Diamond LLC,5/21/2022,,,,,4,"Ordered and fully assembled with Dharm Set with: (1 pair) 8.0mm RD lab created diamonds, H/I color, SI1 clarity, eye clean - 2.0 ct. tw. each, total = 4.0 ct. tw. *ct. tw. should never exceed below 3.95 ct. tw. as the minimum ct. tw.*   History Notes: MEMO ITEM: Ordered fully assembled from Go Green Jewelry (including finding and diamond) (1 pair) 8.0mm RD lab created diamonds, H/I color, SI1 clarity, eye clean - 2.0 ct. tw. each, total = 4.0 ct. tw. *ct. tw. should never exceed below 3.95 ct. tw. as the minimum ct. tw.*   *When processing the order, these pairs must be assembled and kept together, as their cert numbers match each other per pair. Please ensure this is relayed to the vendor when processing orders.",
BE304RD0400LAB-18KY,Runout - CAT - 18K Yellow Gold Certified Lab Created Diamond Stud Earrings (4 ct. tw.),Inventory Item,To Be Photographed,No,Not on website,Purchase Order #902323,4/19/2022 14:48,Finished Item Approved,4/19/2022,,Runout,No,Same as BE304RD400LAB-18KY,,Bhakti Diamond LLC,5/23/2022,,,,,3,"Ordered and fully assembled with Dharm Set with: (1 pair) 8.0mm RD lab created diamonds, H/I color, SI1 clarity, eye clean - 2.0 ct. tw. each, total = 4.0 ct. tw. *ct. tw. should never exceed below 3.95 ct. tw. as the minimum ct. tw.*   History Notes: MEMO ITEM: Ordered fully assembled from Go Green Jewelry (including finding and diamond) (1 pair) 8.0mm RD lab created diamonds, H/I color, SI1 clarity, eye clean - 2.0 ct. tw. each, total = 4.0 ct. tw. *ct. tw. should never exceed below 3.95 ct. tw. as the minimum ct. tw.*   *When processing the order, these pairs must be assembled and kept together, as their cert numbers match each other per pair. Please ensure this is relayed to the vendor when processing orders.",
BE304RD0400LAB-PT,Runout - CAT - Platinum Certified Lab Created Diamond Stud Earrings (4 ct. tw.),Inventory Item,To Be Photographed,No,Not on website,Purchase Order #902323,4/19/2022 14:48,Finished Item Approved,4/19/2022,,Runout,No,Same as BE304RD400LAB-PT,,Bhakti Diamond LLC,5/23/2022,,,,,3,"Ordered and fully assembled with Dharm Set with: (1 pair) 8.0mm RD lab created diamonds, H/I color, SI1 clarity, eye clean - 2.0 ct. tw. each, total = 4.0 ct. tw. *ct. tw. should never exceed below 3.95 ct. tw. as the minimum ct. tw.*   History Notes: MEMO ITEM: Ordered fully assembled from Go Green Jewelry (including finding and diamond) (1 pair) 8.0mm RD lab created diamonds, H/I color, SI1 clarity, eye clean - 2.0 ct. tw. each, total = 4.0 ct. tw. *ct. tw. should never exceed below 3.95 ct. tw. as the minimum ct. tw.*   *When processing the order, these pairs must be assembled and kept together, as their cert numbers match each other per pair. Please ensure this is relayed to the vendor when processing orders.",
BE31001-14KY,FJ- thin to thick tapered chunky hoops,Inventory Item,,No,Not on website,Purchase Order #906187,4/25/2022 8:56,Finished Item Approved,7/13/2022,,,No,,,Jasani,,9/2/2022,,,,2,"ordered and fully assembled with jasani  14KY VERMEIL**********  - 16mm long by 9mm at the widest point, tapered chunky hoops. -  smooth rounded shape, no flat edges or hard angles. -hollow inside to save weight. - domed front. -tapered side thickness, 4mm at the thickest point, 1.5mm at the ends.",
BE31001-S,FJ- thin to thick tapered chunky hoops,Inventory Item,,No,Not on website,Purchase Order #906187,4/25/2022 8:56,Finished Item Approved,7/13/2022,,,No,,,Jasani,,9/2/2022,,,,1,"ordered and fully assembled with jasani  - 16mm long by 9mm at the widest point, tapered chunky hoops. -  smooth rounded shape, no flat edges or hard angles. -hollow inside to save weight. - domed front. -tapered side thickness, 4mm at the thickest point, 1.5mm at the ends.",
BE31515-14KY,FJ- dual metal vera hoop earrings,Inventory Item,With Retoucher,No,Not on website,Purchase Order #846083,1/27/2022 12:37,Finished Item Approved,7/8/2022,7/15/2022,8/5/2022,Yes,,,Jasani,8/29/2022,7/11/2022,,,,1,PLEASE NOTE: 14KY with rhodium plated white links  ORDERED AND FULLY ASSEMBLED WITH JASANI  ALTERNATING 14KY AND 14KW   BASED ON BE2990,
BE3164-14KY,FJ-Chunky silver vermeil 25mm tapered hoop earring,Inventory Item,,No,Not on website,Purchase Order #897318,4/12/2022 12:23,Finished Item Approved,7/26/2022,,,No,,,Incon Gem Designs,,9/2/2022,,,,2,ORDERED AND FULLY ASSEMBLED WITH INCON IN 14KY VERMEIL ********  - hoop earring 25mm long  tapering from 4.5mm at the top down to 10mm wide at the bottom.  - rounded in form and shape.  - hollow out inside to save weight.  -hoop gap should be wide enough to allow 6mm of space from the inside edge of the hinge to the catch after the hinge is soldered into place.  -place stamps on the inside near the hinge.,
BE3164-S,FJ-Chunky silver vermeil 25mm tapered hoop earring,Inventory Item,,No,Not on website,Purchase Order #897318,4/12/2022 12:23,Finished Item Approved,7/26/2022,,,No,,,Incon Gem Designs,,9/2/2022,,,,1,ORDERED AND FULLY ASSEMBLED WITH INCON IN SS  - hoop earring 25mm long  tapering from 4.5mm at the top down to 10mm wide at the bottom.  - rounded in form and shape.  - hollow out inside to save weight.  -hoop gap should be wide enough to allow 6mm of space from the inside edge of the hinge to the catch after the hinge is soldered into place.  -place stamps on the inside near the hinge.,
BE3AQ123-18KW,FJ - Toi et Moi Gemstone Earrings,Inventory Item,,No,Not on website,Purchase Order #869229,3/3/2022 10:04,Finished Item Approved,7/26/2022,,,No,,,Incon Gem Designs,,8/12/2022,,,,1,ordered and fully assembled with incon  set with (2 qty) 6x4mm Aquamarine Pear  (2 qty) 6x4mm Sapphire EC  - NS Sapphire EC set with 4 bead prongs in low basket and earring post on EC basket near PS  as seen on CAD  -Pear shaped Aquamarine in 3 prong low basket on slight angle with point toward sapphire EC. Stones centered vertically with each other.  - joined at prongs  - Friction post backs  - Left and Right Earrings mirrored,
BE3D263-18KW,FJ- nature inspired duel leaf and vine stud earring,Inventory Item,With Retoucher,No,Not on website,Purchase Order #887146,3/29/2022 11:42,Finished Item Approved,7/8/2022,7/15/2022,8/5/2022,Yes,,,Incon Gem Designs,8/29/2022,8/26/2022,,,,1,"Ordered and Fully Produced by Incon  Set with: (4) qty 1.2mm RD diamonds  - nature inspired duel leaf and vine stud earrings with RD stone accents.  - Natural leaf shape with carved in center vein.  - Side modulation of leaves is slightly curved and rounds up at the tip a little.  - The vein that runs in the center of the leaf is wider closer to the vine. it does not reach the end tip of the leaf. The vein is about 3/4 the length of the leaf.  - the vine modulates slightly and has flared, angled and round ends.  - The RD stones are in thin as possible bezel settings and come off a short curved stem.  - post is centered",
BE3D263-18KY,FJ- nature inspired duel leaf and vine stud earring,Inventory Item,,No,Not on website,Purchase Order #887146,3/29/2022 11:42,Finished Item Approved,7/8/2022,,,No,,,Incon Gem Designs,8/29/2022,8/26/2022,,,,2,"Ordered and Fully Produced by Incon  Set with: (4) qty 1.2mm RD diamonds  - nature inspired duel leaf and vine stud earrings with RD stone accents.  - Natural leaf shape with carved in center vein.  - Side modulation of leaves is slightly curved and rounds up at the tip a little.  - The vein that runs in the center of the leaf is wider closer to the vine. it does not reach the end tip of the leaf. The vein is about 3/4 the length of the leaf.  - the vine modulates slightly and has flared, angled and round ends.  - The RD stones are in thin as possible bezel settings and come off a short curved stem.  - post is centered",
BE3D562-18KW,FJ - CYO East West Solitaire Pendant,Inventory Item,With Retoucher,No,Not on website,Purchase Order #830210,1/3/2022 17:46,Finished Item Approved,7/11/2022,7/19/2022,8/12/2022,No,,,Guild and Facet,,4/18/2022,,,,1,"CYO STYLE  ORDERED AND FULLY ASSEMBLED WITH GUILD + FACET  E/W ELONGATED STYLE  -Basket style setting, claw prongs  -see sketch one for stationary chain connection  -see sketch 2 for clasp position  -CYO  Only for shapes: Emerald, Radiant, oval, marquise, and pear","Emerald,Marquise,Oval,Pear,Radiant"
BE3D564-14KY,FJ- Chevron diamond pattern hoop earrings,Inventory Item,,No,Not on website,Purchase Order #828605,12/30/2021 11:15,Finished Item Approved,7/13/2022,,,No,,,Incon Gem Designs,9/5/2022,7/11/2022,,,,1,14KY VERMEIL   ORDERED AND FULLY ASSEMBLED WITH INCON  SET WITH (84) qty .95mm RD diamonds F/G SI1,
BE3D647-18KW,FJ - Double Strand Willow Hoops,Inventory Item,,No,Not on website,Purchase Order #886914,3/29/2022 10:14,Finished Item Approved,7/13/2022,,,No,,,Jasani,9/5/2022,10/1/2022,,,,1,Ordered and fully assembled with Jasani  Set With: (8) qty 4x2 mm MQ  -MQ gems to be 2 prong-set -29 mm Diameter hoops  -0.8 mm wide strands -1.2 mm wide opening  -Friction post and backs  -2 mm hoop depth,
BE3D647-18KY,FJ - Double Strand Willow Hoops,Inventory Item,,No,Not on website,Purchase Order #886914,3/29/2022 10:14,Finished Item Approved,7/13/2022,,,No,,,Jasani,9/5/2022,10/1/2022,,,,2,Ordered and fully assembled with Jasani  Set With: (8) qty 4x2 mm MQ  -MQ gems to be 2 prong-set -29 mm Diameter hoops  -0.8 mm wide strands -1.2 mm wide opening  -Friction post and backs  -2 mm hoop depth,
BE3DP800-18KW,CYO diamond pearl drop earrings,Inventory Item,,No,Not on website,Purchase Order #728522,7/30/2021 16:10,Finished Item Approved,3/21/2022,,Sourcing Issues,Yes,,,Guild and Facet,,12/17/2021,,,,1,"CYO STYLE, GUILD, MTO 5 DAY TURNAROUND  SET WITH (qty 2) 4x6mm drop shaped pearls  CENTERS OFFERED WILL BE OV, PC, RD, EC","Emerald,Oval,Princess,Round"
BE3DP800-18KY,CYO diamond pearl drop earrings,Inventory Item,With Retoucher,No,Not on website,Purchase Order #728522,7/30/2021 16:10,Finished Item Approved,3/21/2022,3/25/2022,Sourcing Issues,Yes,,,Guild and Facet,,12/17/2021,,,,1,"CYO STYLE, GUILD, MTO 5 DAY TURNAROUND  SET WITH (qty 2) 4x6mm drop shaped pearls  CENTERS OFFERED WILL BE OV, PC, RD, EC","Emerald,Oval,Princess,Round"
BE3E215-18KW,IT- magnolia earring in emerald ,Inventory Item,With Photo,No,Not on website,Purchase Order #742460,8/23/2021 14:49,Finished Item Approved,9/13/2021,,Runout,Yes,tentative stock 3/25 po 865362,,Incon Gem Designs,3/27/2022,,,Runout,2/28/2022,2,Same as ACTIVE BE3D215 except with emerald and in 18k  ORDERED AND FULLY ASSEMBLED WITH INCON  SET WITH (qty 2) 1.5mm round emerald,
BE3E215-18KY,IT- magnolia earring in emerald ,Inventory Item,With Photo,No,Not on website,Purchase Order #742460,8/23/2021 14:49,Finished Item Approved,9/13/2021,,Runout,Yes,tentative stock 3/25 po 865363,,Incon Gem Designs,3/27/2022,,,Runout,2/28/2022,2,Same as ACTIVE BE3D215 except with emerald and in 18k  ORDERED AND FULLY ASSEMBLED WITH INCON  SET WITH (qty 2) 1.5mm round natural emerald,
BE3LBT145-18KW,FJ- trillion and pear gem drop earring in blues,Inventory Item,With Retoucher,No,Not on website,Purchase Order #859574,2/15/2022 13:46,Finished Item Approved,7/11/2022,7/15/2022,8/5/2022,Yes,,,Incon Gem Designs,8/29/2022,8/1/2022,,,,1,"ORDERED AND FULLY ASSEMBLED WITH INCON  SET WITH (2) qty 6mm Trillion Aqua (2) qty 9x6mm pear London blue topaz  -drop earring featuring 6mm trillion posted tops, set in an open basket with 3 claw prongs and 9x6mm pear drops in an open 3 claw prong basket setting. - a ring connection joins the two gems.  Matching pendant #859478",
BE3LC653-18KW,FJ - Single shared prong duo earrings,Inventory Item,,No,Not on website,Purchase Order #896324,4/11/2022 13:10,Finished Item Approved,7/26/2022,,,No,,,Incon Gem Designs,9/18/2022,9/9/2022,,,,1,ordered and fully assembled with incon  set with (2) qty 5 mm RD lab (2) qty 3 mm RD lab  -Gems to be set in single shared prong setting prong target size to be 1.1 mm and 1.3 for the larger gem  -Post located at the back part of the larger gem see sketch 1 for reference  -Please note the stamp location in sketch 1  -guardian backs,
BE3LE6445-18KW,CAT - IT 18KW Pear Cut Lab Emerald Stud Earrings,Inventory Item,With Photo,No,Not on website,Purchase Order #892393,4/5/2022 15:58,Finished Item Approved,4/5/2022,,Runout,No,"Same as BE3LE6445-S, photoshop in 18KW",,Incon Gem Designs,6/27/2022,,,ED: no stock date yet,,4,Ordered and assembled with Incon Set with: (2) qty 6x4mm Pear cut Lab Emerald,
BE3LE6E45-18KW,CAT - IT 18KW Emerald Cut Lab Emerald Studs Earrings,Inventory Item,With Photo,No,Not on website,Purchase Order #892393,4/5/2022 15:58,Finished Item Approved,4/5/2022,,Runout,No,"Same as BE3LE6E45-S, photoshop in 18KW",,Incon Gem Designs,6/27/2022,,,ED: no stock date yet,,3,Ordered and assembled with Incon Set with: (2) qty 6x4mm EM cut Lab Emerald,
BE3LGS50-S,FJ -  Pink and green Bouquet earring,Inventory Item,With Retoucher,No,Not on website,Purchase Order #880220,3/18/2022 13:55,Finished Item Approved,7/11/2022,7/15/2022,8/5/2022,Yes,,,Incon Gem Designs,8/29/2022,8/12/2022,,,,1,,
BE3LR6445-18KY,CAT - IT 18KY Pear Lab Ruby Stud Earrings,Inventory Item,With Retoucher,No,Not on website,Purchase Order #935743,6/7/2022 9:16,Finished Item Approved,6/7/2022,7/15/2022,8/5/2022,Yes,Same as BE3G6445-S photoshop with Lab Ruby and in 18KY  Stock ETA 7.20,,Incon Gem Designs,7/22/2022,,"ED 6/7: no PDPO link or approval status, pinged Ana",,,1,Ordered and assembled with Incon  Set with: (2) qty 6x4mm Pear cut Lab Ruby,
BE3LR6E45-18KY,CAT - IT 18KY Emerald Cut Lab Ruby Stud Earrings,Inventory Item,To Be Photographed,No,Not on website,Purchase Order #935750,6/7/2022 9:25,Finished Item Approved,6/7/2022,7/15/2022,8/5/2022,Yes,Same as BE3G6E45-S photoshop with Lab Ruby and 18KY  Stock ETA 7/20,,Incon Gem Designs,7/22/2022,,"ED 6/7: no PDPO link or approval status, pinged Ana",,,1,Ordered and assembled with Incon  Set with: (2) QTY 6X4mm EM cut Lab Ruby,
BE3MQ1315LC-18KW,IT - FJ - Lab Diamond Petal Earrings,Inventory Item,With Retoucher,No,Not on website,Purchase Order #873194,3/8/2022 12:21,Finished Item Approved,5/23/2022,5/31/2022,7/29/2022,Yes,tentative stock 7/18 po 927732,,Incon Gem Designs,7/18/2022,,ED: 5/31 photoshop,ED 6/6: launch pushed due to new stock rules. ED 7/22: imagery delayed again due to merch GG pre-QA QA. Pushing to NW.,,2,"ORDERED AND FULLY ASSEMBLED WITH INCON  SET WITH (8 qty) 3x1.5mm LAB MQ Diamonds (8 qty) 1.3mm RD diamonds, F-G color, SI1 clarity, eye clean - 0.08cts  -to be made in the same style as BE3MQ1315LE  -only change is to swap the Emeralds for 3x1.5mm MQ diamonds  -friction posts/backs  *minimum ctw should never exceed below 5% of actual, so should never be below 0.07ctw",
BE3OP012-14KW,Fj-oval teardrop earrings,Inventory Item,,No,Not on website,Purchase Order #848613,1/31/2022 16:23,Finished Item Approved,7/13/2022,,,No,,,Incon Gem Designs,9/5/2022,6/27/2022,,,,1,ORDERED AND FULLY ASSEMBLED WITH INCON  SET WITH (qty 2) 8 x 5mm pear shaped opal cabochons  same earring as our current teardrop earring (BE3C012) but modified to accommodate an pear opal cabochon.,
BE3OP012-14KY,Fj-oval teardrop earrings,Inventory Item,,No,Not on website,Purchase Order #848613,1/31/2022 16:23,Finished Item Approved,7/13/2022,,,No,,,Incon Gem Designs,9/5/2022,6/27/2022,,,,2,ORDERED AND FULLY ASSEMBLED WITH INCON  SET WITH (qty 2) 8 x 5mm pear shaped opal cabochons  same earring as our current teardrop earring (BE3C012) but modified to accommodate an pear opal cabochon.,
BE3P156-18KW,FJ - 3 Graduated Pearl Drop Earring,Inventory Item,,No,Not on website,Purchase Order #877222,3/14/2022 14:14,Finished Item Approved,7/26/2022,,,No,,,Incon Gem Designs,,8/12/2022,,,,1,ORDERED AND FULLY ASSEMBLED WITH INCON  SET WITH (2 qty) 4mm pearl (2 qty) 5mm pearl (2 qty) 6mm pearl  Please develop these earrings to total length of 33mm - 4mm pearl with post back and small loop connects with 9mm of 1.3mm chain to -5mm drilled pearl  - connecting to with 9mm of 1.3mm chain to 6mm half-drilled pearl - metal stamp below post on back,
BE3P156-18KY,FJ - 3 Graduated Pearl Drop Earring,Inventory Item,,No,Not on website,Purchase Order #877222,3/14/2022 14:14,Finished Item Approved,7/26/2022,,,No,,,Incon Gem Designs,9/11/2022,8/12/2022,,,,2,ORDERED AND FULLY ASSEMBLED WITH INCON  SET WITH (2 qty) 4mm pearl (2 qty) 5mm pearl (2 qty) 6mm pearl  Please develop these earrings to total length of 33mm - 4mm pearl with post back and small loop connects with 9mm of 1.3mm chain to -5mm drilled pearl  - connecting to with 9mm of 1.3mm chain to 6mm half-drilled pearl - metal stamp below post on back,
BE3P440-14KY,"FJ- ""V"" shaped micro pave hoop with pearl drop and locking French wire",Inventory Item,With Retoucher,No,Not on website,Purchase Order #751887,9/7/2021 17:21,Finished Item Approved,2/8/2022,2/17/2022,Sourcing Issues,Yes,tentative stock 5/12 po 872874,,Incon Gem Designs,2/4/2022,1/10/2022,,"ED: 3/11 on hold per PD, unable to source these pearls ATM",,7,ORDERED AND FULLY ASSEMBLED WITH INCON  SET WITH -(44) qty 1.5mm RD diamonds -(2) qty 5x7mm baroque tear drop pearls.,
BE3P55-14KY,FJ- pearl and gem cluster stud earring,Inventory Item,With Retoucher,No,Not on website,Purchase Order #869362,3/3/2022 11:08,Finished Item Approved,6/28/2022,6/30/2022,7/29/2022,Yes,,,Incon Gem Designs,8/22/2022,8/12/2022,,,,2,"Ordered and fully assembled with Incon, set with : (2) qty 5mm RD one hole pearls (2) qty 4mm RD one hole pearls (2) qty 3mm RD one hole pearls (8) qty 1.2mm diamonds  - this is a cluster stud earring of graduated pearls and gems and needs to match pendant PDPO#877416. - the post sits just above center (see illustration for exact location) - make the cup settings as thin as possible and angled. -the pearls are one hole and are pegged into the cups. - the center diamond, which is set with (3) .5mm bead prongs, is raised and its table sits at the same height as the top of the smallest pearl. - the side gems sit at about the mid line of the pearl and are slightly angled.  -the side gems are set with (4) .5mm bead prongs and are in tapered closed side gallery settings.",
BE3RED05RD-14KR,REDESIGN - CYO Halo Diamond Earrings ,Inventory Item,With Photo,No,Not on website,Purchase Order #380498,5/29/2019 11:34,Finished Item Approved,11/6/2019,11/6/2019,Runout,Yes,RUNOUT - waiting for inventory to sell through,,Frederick Goldman Inc,,,,,,,"Ordered and fully assembled from Frederick Goldman. CYO.  Set with:  4.0mm	30 qty 1.0mm accents 4.5mm	34 qty 1.0mm accents 5.0mm	32 qty 1.0mm accents 5.5mm	38 qty 1.0mm accents 6.0mm	42 qty 1.0mm accents 6.5mm	42 qty 1.0mm accents 7.0mm	46 qty 1.0mm accents 7.5mm	50 qty 1.0mm accents 8.0mm	50 qty 1.0mm accents 8.5mm	54 qty 1.0mm accents  *IF TOTAL CTW IS 0.99CT OR UNDER - push backs  *IF TOTAL CTW IS 1.00 OR OVER - guardian backs",Round
